"nombre","nombre_raw","codigo","codigo_raw","id","id_raw"
"ANTIOQUIA","ANTIOQUIA","05","05","1","1"
"ATLÁNTICO","ATLÁNTICO","08","08","2","2"
"BOLÍVAR","BOLÍVAR","13","13","3","3"
"BOYACÁ","BOYACÁ","15","15","4","4"
"CALDAS","CALDAS","17","17","5","5"
"CAQUETÁ","CAQUETÁ","18","18","6","6"
"CAUCA","CAUCA","19","19","7","7"
"CESAR","CESAR","20","20","8","8"
"CÓRDOBA","CÓRDOBA","23","23","9","9"
"CUNDINAMARCA","CUNDINAMARCA","25","25","10","10"
"CHOCÓ","CHOCÓ","27","27","11","11"
"HUILA","HUILA","41","41","12","12"
"LA GUAJIRA","LA GUAJIRA","44","44","13","13"
"MAGDALENA","MAGDALENA","47","47","14","14"
"META","META","50","50","15","15"
"NARIÑO","NARIÑO","52","52","16","16"
"NORTE DE SANTANDER","NORTE DE SANTANDER","54","54","17","17"
"QUINDIO","QUINDIO","63","63","18","18"
"RISARALDA","RISARALDA","66","66","19","19"
"SANTANDER","SANTANDER","68","68","20","20"
"SUCRE","SUCRE","70","70","21","21"
"TOLIMA","TOLIMA","73","73","22","22"
"VALLE DEL CAUCA","VALLE DEL CAUCA","76","76","23","23"
"ARAUCA","ARAUCA","81","81","24","24"
"CASANARE","CASANARE","85","85","25","25"
"PUTUMAYO","PUTUMAYO","86","86","26","26"
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","88","88","27","27"
"AMAZONAS","AMAZONAS","91","91","28","28"
"GUAINÍA","GUAINÍA","94","94","29","29"
"GUAVIARE","GUAVIARE","95","95","30","30"
"VAUPÉS","VAUPÉS","97","97","31","31"
"VICHADA","VICHADA","99","99","32","32"
"BOGOTA D.C","BOGOTA D.C","11","11","33","33"
"PRUEBA","PRUEBA","1111111","1111111","35","35"
